ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-04-13,2780.216378247169,1083.0803964826287,4596.89566207234,2780.216378247169,2780.216378247169,70.67056295040356,70.67056295040356,70.67056295040356,70.67056295040356,70.67056295040356,70.67056295040356,0.0,0.0,0.0,2850.8869411975725
2022-04-14,2779.9009419474332,1148.5705394581685,4390.722627496461,2779.9009419474332,2779.9009419474332,-31.86231183734393,-31.86231183734393,-31.86231183734393,-31.86231183734393,-31.86231183734393,-31.86231183734393,0.0,0.0,0.0,2748.0386301100893
2022-04-16,2779.2700693479633,1084.3204589234674,4509.3763073257205,2779.2700693479633,2779.2700693479633,18.333063927670235,18.333063927670235,18.333063927670235,18.333063927670235,18.333063927670235,18.333063927670235,0.0,0.0,0.0,2797.6031332756334
2022-04-17,2778.9546330482285,1097.7619323891072,4445.625956690232,2778.9546330482285,2778.9546330482285,5.551561857894119,5.551561857894119,5.551561857894119,5.551561857894119,5.551561857894119,5.551561857894119,0.0,0.0,0.0,2784.506194906123
2022-04-18,2778.6391967484933,1250.5284912955158,4518.963148560781,2778.6391967484933,2778.6391967484933,152.5541573712898,152.5541573712898,152.5541573712898,152.5541573712898,152.5541573712898,152.5541573712898,0.0,0.0,0.0,2931.193354119783
2022-04-19,2778.3237604487576,1107.1219488574025,4370.01860871801,2778.3237604487576,2778.3237604487576,-67.66198722964542,-67.66198722964542,-67.66198722964542,-67.66198722964542,-67.66198722964542,-67.66198722964542,0.0,0.0,0.0,2710.661773219112
2022-04-21,2777.692887808992,1047.6000445969987,4421.495400783441,2777.692887808992,2777.692887808992,-31.862311836841418,-31.862311836841418,-31.862311836841418,-31.862311836841418,-31.862311836841418,-31.862311836841418,0.0,0.0,0.0,2745.8305759721507
2022-04-22,2777.3774514891097,926.4195419492859,4184.995391287211,2777.3774514891097,2777.3774514891097,-147.58504704135024,-147.58504704135024,-147.58504704135024,-147.58504704135024,-147.58504704135024,-147.58504704135024,0.0,0.0,0.0,2629.7924044477595
2022-04-23,2777.062015169227,1030.9206126660786,4382.073802133615,2777.062015169227,2777.062015169227,18.33306392744106,18.33306392744106,18.33306392744106,18.33306392744106,18.33306392744106,18.33306392744106,0.0,0.0,0.0,2795.395079096668
2022-04-24,2776.7465788493446,1076.1691480305246,4541.063641613407,2776.7465788493446,2776.7465788493446,5.551561857698799,5.551561857698799,5.551561857698799,5.551561857698799,5.551561857698799,5.551561857698799,0.0,0.0,0.0,2782.2981407070433
